chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	100240000	100920000	1	100240000	100920000	255,255,0	1.1551	0.066284	0.074079	0.91436	0.51471
1	214810000	215730000	1	214810000	215730000	255,255,0	1.7399	0.075557	0.064803	0.91635	0.95227
1	71020000	71510000	1	71020000	71510000	255,255,0	1.482	0.07911	0.06055	0.825	0.89833
1	192430000	193030000	1	192430000	193030000	255,255,0	1.7162	0.063797	0.075565	0.91889	0.92556
1	109790000	109960000	1	109790000	109960000	255,255,0	1.1165	0.061614	0.077427	0.70833	0.68056
1	101370000	101510000	1	101370000	101510000	255,255,0	0.81	0.12937	0.0092641	0.57143	0.53061
1	36550000	36770000	1	36550000	36770000	255,255,0	1.2734	0.072597	0.065961	0.80992	0.76033
1	26810000	27220000	1	26810000	27220000	255,255,0	1.6302	0.060883	0.077554	0.92619	0.87381
1	46840000	47200000	1	46840000	47200000	255,255,0	1.5116	0.079934	0.058423	0.84877	0.89815
1	39560000	39740000	1	39560000	39740000	255,255,0	1.1778	0.10626	0.031882	0.74074	0.71605
1	45790000	46050000	1	45790000	46050000	255,255,0	1.0629	0.062207	0.075652	0.68639	0.74556
1	97420000	98320000	1	97420000	98320000	255,255,0	1.0885	0.067855	0.069772	0.81481	0.63407
1	32110000	32260000	1	32110000	32260000	255,255,0	0.97831	0.076976	0.060045	0.625	0.625
1	221630000	222640000	1	221630000	222640000	255,255,0	1.611	0.066249	0.070644	0.89294	0.95255
1	41290000	41450000	1	41290000	41450000	255,255,0	0.95824	0.04719	0.089637	0.60938	0.64062
1	28370000	28560000	1	28370000	28560000	255,255,0	1.0947	0.05647	0.080041	0.61111	0.76667
1	171560000	171960000	1	171560000	171960000	255,255,0	1.0588	0.06673	0.069583	0.6675	0.7325
1	234230000	234500000	1	234230000	234500000	255,255,0	1.2871	0.055471	0.080494	0.87363	0.73077
1	29090000	29550000	1	29090000	29550000	255,255,0	1.5689	0.075641	0.060303	0.74484	0.9515
1	38500000	39300000	1	38500000	39300000	255,255,0	1.8017	0.053125	0.082638	0.96188	0.95023
1	235960000	236190000	1	235960000	236190000	255,255,0	0.89803	0.033079	0.10263	0.53788	0.65909
1	59170000	60250000	1	59170000	60250000	255,255,0	1.863	0.070891	0.064799	0.9537	0.97291
1	67680000	67980000	1	67680000	67980000	255,255,0	1.0604	0.064089	0.071521	0.64889	0.75556
1	113670000	114240000	1	113670000	114240000	255,255,0	1.6065	0.054358	0.080752	0.92734	0.86576
1	44190000	44430000	1	44190000	44430000	255,255,0	1.4212	0.056135	0.078634	0.85417	0.84028
1	184760000	184950000	1	184760000	184950000	255,255,0	1.2208	0.08368	0.050992	0.74444	0.74444
1	47230000	47620000	1	47230000	47620000	255,255,0	1.5244	0.065526	0.069089	0.89211	0.87632
1	85750000	86050000	1	85750000	86050000	255,255,0	1.5831	0.071417	0.063084	0.88889	0.85333
1	162470000	162780000	1	162470000	162780000	255,255,0	1.5673	0.067141	0.067342	0.84583	0.90417
1	180850000	181140000	1	180850000	181140000	255,255,0	1.707	0.048758	0.085703	0.88095	0.87143
1	220450000	220960000	1	220450000	220960000	255,255,0	1.3348	0.073938	0.060323	0.77225	0.89534
1	240350000	240870000	1	240350000	240870000	255,255,0	1.6202	0.08499	0.049267	0.83284	0.95414
1	116670000	117060000	1	116670000	117060000	255,255,0	1.4119	0.056824	0.077352	0.83421	0.86053
1	109620000	110030000	1	109620000	110030000	255,255,0	0.9597	0.053523	0.080594	0.63571	0.66429
1	201500000	201680000	1	201500000	201680000	255,255,0	1.035	0.081399	0.052486	0.74074	0.59259
1	15440000	15850000	1	15440000	15850000	255,255,0	1.3374	0.075281	0.05856	0.72143	0.90238
1	230200000	230410000	1	230200000	230410000	255,255,0	1.2672	0.066391	0.067449	0.69463	0.81777
1	120280000	120700000	1	120280000	120700000	255,255,0	1.8234	0.070892	0.06258	0.74897	0.95346
1	111990000	112320000	1	111990000	112320000	255,255,0	1.7092	0.070811	0.062522	0.90809	0.92279
1	157150000	157510000	1	157150000	157510000	255,255,0	1.3293	0.075553	0.05771	0.86728	0.74383
1	53710000	53920000	1	53710000	53920000	255,255,0	1.2422	0.084243	0.048986	0.80909	0.75455
1	208180000	208430000	1	208180000	208430000	255,255,0	1.4475	0.051872	0.081245	0.82692	0.86538
1	9330000	9550000	1	9330000	9550000	255,255,0	1.3568	0.056183	0.076931	0.82645	0.79339
1	246660000	246940000	1	246660000	246940000	255,255,0	1.4759	0.063496	0.069547	0.85204	0.82143
1	62900000	63250000	1	62900000	63250000	255,255,0	1.7189	0.063745	0.068946	0.92484	0.92484
1	94350000	94500000	1	94350000	94500000	255,255,0	0.86409	0.099029	0.0336	0.625	0.51786
1	85410000	85730000	1	85410000	85730000	255,255,0	1.3593	0.052041	0.080121	0.73047	0.81641
1	115670000	116140000	1	115670000	116140000	255,255,0	1.6046	0.060543	0.071326	0.93659	0.8279
1	18890000	19190000	1	18890000	19190000	255,255,0	1.4954	0.057941	0.073919	0.82667	0.90667
1	36950000	37900000	1	36950000	37900000	255,255,0	1.8669	0.050602	0.081122	0.97917	0.91711
1	27720000	27990000	1	27720000	27990000	255,255,0	1.1692	0.056992	0.074692	0.77473	0.6978
1	165340000	165560000	1	165340000	165560000	255,255,0	1.3978	0.055402	0.076236	0.80992	0.80992
1	112920000	113250000	1	112920000	113250000	255,255,0	1.7582	0.075622	0.055865	0.92279	0.90074
1	203460000	203680000	1	203460000	203680000	255,255,0	1.2978	0.062733	0.068468	0.77686	0.80992
1	7720000	8020000	1	7720000	8020000	255,255,0	1.4104	0.056799	0.073817	0.8	0.86222
1	63300000	63770000	1	63300000	63770000	255,255,0	1.2451	0.063408	0.066937	0.9093	0.71523
1	179640000	179810000	1	179640000	179810000	255,255,0	1.0015	0.043077	0.087238	0.6033	0.66667
1	43380000	43550000	1	43380000	43550000	255,255,0	1.048	0.056168	0.073786	0.70833	0.68056
1	9950000	10430000	1	9950000	10430000	255,255,0	1.0619	0.051404	0.078265	0.5434	0.83507
1	40260000	40510000	1	40260000	40510000	255,255,0	1.4581	0.058805	0.070623	0.83333	0.86538
1	15860000	16090000	1	15860000	16090000	255,255,0	1.4607	0.063386	0.065974	0.84091	0.82576
1	15630000	15850000	1	15630000	15850000	255,255,0	0.91176	0.068669	0.060678	0.54752	0.64669
1	163040000	163290000	1	163040000	163290000	255,255,0	1.1844	0.033048	0.096261	0.51923	0.86538
